[2024-07-26 21:46:21,929]  __main__ | INFO | Test
[2024-07-31 23:52:11,450]  __main__ | INFO | Checking Advancement file
[2024-07-31 23:53:36,363]  __main__ | INFO | Checking Advancement file
[2024-07-31 23:55:14,428]  __main__ | INFO | Checking Advancement file
[2024-08-01 00:00:14,430]  __main__ | INFO | Checking Advancement file
[2024-08-01 00:05:14,437]  __main__ | INFO | Checking Advancement file
[2024-08-01 00:10:14,450]  __main__ | INFO | Checking Advancement file
[2024-08-01 00:15:14,456]  __main__ | INFO | Checking Advancement file
[2024-08-01 00:30:05,940]  __main__ | INFO | Checking Advancement file
[2024-08-01 20:26:01,070]  __main__ | INFO | Checking Advancement file
[2024-08-01 20:27:25,433]  __main__ | INFO | Checking Advancement file
[2024-08-01 20:32:25,438]  __main__ | INFO | Checking Advancement file
[2024-08-01 20:36:21,631]  logging_config | DEBUG | Calling function: get_SheetsManager
[2024-08-01 20:36:22,193]  logging_config | DEBUG | Function get_SheetsManager finished
[2024-08-01 20:36:22,194]  logging_config | DEBUG | Calling function: get_AdvMonitor
[2024-08-01 20:36:22,204]  logging_config | DEBUG | Function get_AdvMonitor finished
[2024-08-01 20:36:22,205]  logging_config | DEBUG | Calling function: get_LogMonitor
[2024-08-01 20:36:22,205]  tracker_utils | DEBUG | get_LogMonitor()
[2024-08-01 20:36:22,205]  logging_config | DEBUG | Function get_LogMonitor finished
[2024-08-01 20:36:22,205]  logging_config | DEBUG | Calling function: get_Scoreboard
[2024-08-01 20:36:22,205]  tracker_utils | DEBUG | get_Scoreboard()
[2024-08-01 20:36:22,207]  logging_config | DEBUG | Function get_Scoreboard finished
[2024-08-01 20:36:22,207]  logging_config | DEBUG | Calling function: get_Overlay
[2024-08-01 20:36:22,207]  logging_config | DEBUG | Function get_Overlay finished
[2024-08-01 20:36:22,207]  logging_config | DEBUG | Calling function: check_logs
[2024-08-01 20:36:22,207]  logging_config | DEBUG | Function check_logs finished
[2024-08-01 20:36:22,207]  logging_config | DEBUG | Calling function: update_first_completions
[2024-08-01 20:36:22,207]  logging_config | DEBUG | Function update_first_completions finished
[2024-08-01 20:36:22,208]  __main__ | INFO | Checking Advancement file
[2024-08-01 20:36:22,208]  logging_config | DEBUG | Calling function: check_adv_directory
[2024-08-01 20:36:22,208]  logging_config | DEBUG | Function check_adv_directory finished
[2024-08-01 20:36:22,208]  logging_config | DEBUG | Calling function: update_advancement_progress
[2024-08-01 20:36:22,209]  logging_config | DEBUG | Function update_advancement_progress finished
